Payment,Place
urn:cite:phoros:payrec.2,urn:cite:phoros:places.1
urn:cite:phoros:payrec.3,urn:cite:phoros:places.2
urn:cite:phoros:payrec.4,urn:cite:phoros:places.3
urn:cite:phoros:payrec.9,urn:cite:phoros:places.4
urn:cite:phoros:payrec.10,urn:cite:phoros:places.5
urn:cite:phoros:payrec.12,urn:cite:phoros:places.6
urn:cite:phoros:payrec.13,urn:cite:phoros:places.7
urn:cite:phoros:payrec.16,urn:cite:phoros:places.8
urn:cite:phoros:payrec.17,urn:cite:phoros:places.8
urn:cite:phoros:payrec.18,urn:cite:phoros:places.9
urn:cite:phoros:payrec.19,urn:cite:phoros:places.10
urn:cite:phoros:payrec.22,urn:cite:phoros:places.11
urn:cite:phoros:payrec.23,urn:cite:phoros:places.12
urn:cite:phoros:payrec.24,urn:cite:phoros:places.13
urn:cite:phoros:payrec.29,urn:cite:phoros:places.14urn:cite:phoros:places.15
urn:cite:phoros:payrec.30,urn:cite:phoros:places.15urn:cite:phoros:places.16
urn:cite:phoros:payrec.31,17
urn:cite:phoros:payrec.32,urn:cite:phoros:places.18
urn:cite:phoros:payrec.33,urn:cite:phoros:places.19
urn:cite:phoros:payrec.38,urn:cite:phoros:places.20
urn:cite:phoros:payrec.39,urn:cite:phoros:places.21
urn:cite:phoros:payrec.40,urn:cite:phoros:places.22
urn:cite:phoros:payrec.41,urn:cite:phoros:places.23
urn:cite:phoros:payrec.42,urn:cite:phoros:places.24
urn:cite:phoros:payrec.43,urn:cite:phoros:places.25
urn:cite:phoros:payrec.44,urn:cite:phoros:places.26
urn:cite:phoros:payrec.45,urn:cite:phoros:places.27
urn:cite:phoros:payrec.46,urn:cite:phoros:places.28
urn:cite:phoros:payrec.47,urn:cite:phoros:places.29
urn:cite:phoros:payrec.48,urn:cite:phoros:places.30
urn:cite:phoros:payrec.49,31
urn:cite:phoros:payrec.50,32
urn:cite:phoros:payrec.51,urn:cite:phoros:places.33
urn:cite:phoros:payrec.52,urn:cite:phoros:places.34
